U_R [V],f [kHz],f [Hz],I [A],phi [rad]
1.767,1.0,1000.0,0.017669999999999998,-1.2053909517467303
1.933,1.1,1100.0,0.01933,-1.1535952780045957
2.167,1.2,1200.0,0.02167,-1.0964806611823381
2.333,1.3,1300.0,0.023330000000000004,-1.0331293317332932
2.567,1.4,1400.0,0.025670000000000002,-0.9625516643957511
2.833,1.5,1500.0,0.02833,-0.8837427865301293
3.067,1.6,1600.0,0.030670000000000003,-0.7957916647458784
3.233,1.7,1700.0,0.03233,-0.6980610185688243
3.467,1.8,1800.0,0.03467,-0.5904421387190357
3.733,1.9,1900.0,0.03733,-0.47364974879725286
3.967,2.0,2000.0,0.039670000000000004,-0.3494589971263342
4.1,2.1,2100.0,0.040999999999999995,-0.2207344196774251
4.167,2.2,2200.0,0.04167,-0.09113029168142758
4.233,2.3,2300.0,0.04233,0.03550674555649897
4.167,2.4,2400.0,0.04167,0.15581399928187362
4.033,2.5,2500.0,0.040330000000000005,0.26739373168938163
3.9,2.6,2600.0,0.039,0.3689577923748627
3.733,2.7,2700.0,0.03733,0.46018591194674713
3.667,2.8,2800.0,0.03667,0.5414462054873059
3.467,2.9,2900.0,0.03467,0.6135100757121106
3.333,3.0,3000.0,0.03333,0.6773293864848444
